% 1.Title: Kinopoisk serials database
%
% 2.Sources:
%   (a) Creator: Vysotin Danil
%   (b) Date: October, 2024
%
@RELATION kinopoisk

@ATTRIBUTE id integer
@ATTRIBUTE title string
@ATTRIBUTE rating numeric
@ATTRIBUTE number_of_ratings integer
@ATTRIBUTE country string
@ATTRIBUTE genre {драма,комедия,боевик,фантастика,ужасы,мелодрама,триллер,приключения,документальный,аниме,криминал,история,фэнтези,спорт,мультфильм,детский,музыка,военный,детектив,биография,мюзикл,реальноеТВ,игра}
@ATTRIBUTE director string
@ATTRIBUTE age_rate {0+,6+,12+,16+,18+}
@ATTRIBUTE year integer
@ATTRIBUTE review_count integer
@ATTRIBUTE duration_minutes integer

@DATA
112,'Смешарики: Пин-Код',8.6,188044,'Россия',мультфильм,'Алексей Горбунов',6+,2012,3,13
113,'Демон',8.5,187425,'Корея Южная',фэнтези,'Ли Ын-бок',18+,2016,46,75
114,'Гости из прошлого',7.9,186861,'Россия',комедия,'Владимир Виноградов',18+,2020,9,23
115,'Котенок по имени Гав',8.3,186685,'СССР',мультфильм,'Лев Атаманов',0+,1976,9,9
116,'Ева, рожай!',7.1,186505,'Россия',комедия,'Никита Грамматиков',18+,2022,12,24
117,'Киллер',7.4,186404,'Россия',боевик,'Денис Карышев',18+,2022,7,51
118,'И просто так',7.1,185793,'США',драма,'Майкл Патрик Кинг',18+,2021,47,?
119,'Сопрано',8.8,185291,'США',драма,'Тимоти Ван Паттен',18+,1999,118,55
121,'Истинная красота',8.3,180869,'Корея Южная',мелодрама,'Ким Сан-хёп',18+,2020,4,75
122,'Закрытая школа',6.3,180785,'Россия',триллер,'Олег Асадулин',18+,2011,147,48
123,'Точка ноль',7.0,179900,'Россия',драма,'Сергей Пикалов',18+,2024,13,45
124,'Машкины страшилки',8.1,178932,'Россия',мультфильм,'Олег Кузовков',0+,2014,1,6
125,'Отчий берег',8.4,176432,'Россия',драма,'Милена Фадеева',18+,2017,13,52
126,'Ералаш',7.3,176417,'СССР',детский,'Борис Грачевский',0+,1974,25,22
127,'И снова здравствуйте!',7.8,175979,'Россия',комедия,'Егор Чичканов',18+,2022,17,30
128,'Папик',8.0,175577,'Украина',комедия,'Андрей Яковлев',18+,2019,11,30
129,'Дальнобойщики',7.3,175191,'Россия',боевик,'Юрий Кузьменко',18+,2001,15,50
130,'Как друзья Захара женили',7.5,174336,'Россия',комедия,'Павел Кривчик',18+,2023,1,24
131,'Бандитский Петербург 2: Адвокат',8.3,171711,'Россия',драма,'Владимир Бортко',18+,2000,28,?
132,'Happy End',7.4,171507,'Россия',драма,'Евгений Сангаджиев',18+,2021,27,35
133,'Выжить после',7.5,171111,'Россия',триллер,'Душан Глигоров',18+,2013,55,48
134,'Территория',7.6,170650,'Россия',детектив,'Вано Бурдули',18+,2017,5,52
135,'Семнадцать мгновений весны',9.0,170482,'СССР',военный,'Татьяна Лиознова',12+,1973,63,69
136,'Ветреный',7.8,170003,'Турция',драма,'Джем Карджи',18+,2019,6,120
137,'Дылды',7.7,169959,'Россия',комедия,'Сергей Сенцов',18+,2019,6,24
138,'Харли Квинн',8.2,169118,'США',мультфильм,'Сесилия Аранович',18+,2019,42,22
139,'Алиби',7.7,168695,'Россия',драма,'Нурбек Эген',18+,2018,7,43
140,'Последний министр',7.4,167453,'Россия',комедия,'Роман Волобуев',18+,2020,23,25
141,'Психологини',7.9,167129,'Россия',комедия,'Роман Фокин',18+,2017,12,24
142,'Участок',7.9,165493,'Россия',комедия,'Александр Баранов',12+,2003,15,?
143,'Машины сказки',7.6,165232,'Россия',мультфильм,'Ринат Газизов',0+,2011,?,6
144,'Жена олигарха',7.6,164388,'Россия',комедия,'Мария Кравченко',18+,2021,?,24
145,'Жёлтый глаз тигра',8.2,164371,'Россия',боевик,'Марк Горобец',18+,2018,5,47
146,'Гранд',7.5,164102,'Россия',комедия,'Дмитрий Грибанов',18+,2018,12,24
147,'Белый лотос',7.5,162329,'США',драма,'Майк Уайт',18+,2021,34,60
148,'Хороший человек',7.1,161980,'Россия',драма,'Константин Богомолов',18+,2020,38,50
149,'Halo',7.7,160264,'США',фантастика,'Отто Батхёрст',18+,2022,25,60
150,'Настя, соберись!',7.2,159828,'Россия',комедия,'Вера Смолина',18+,2021,30,30
151,'Тест на беременность',8.3,159808,'Россия',мелодрама,'Михаил Вайнберг',18+,2014,18,52
152,'Синий Трактор',8.1,159515,'Россия',детский,'Артур Днепровский',0+,2014,?,4
153,'Самогон',8.0,157916,'Россия',военный,'Сергей Малюгов',18+,2023,2,51
154,'Вечный зов',8.6,157485,'СССР',драма,'Владимир Краснопольский',12+,1973,14,65
155,'Тень за спиной',7.9,157151,'Россия',детектив,'Марк Горобец',18+,2018,4,48
156,'Контакт',8.0,156671,'Россия',драма,'Евгений Стычкин',18+,2021,27,48
157,'Плакса',7.7,155470,'Россия',драма,'Андрей Силкин',18+,2023,5,48
